,label,Unnamed: 0,message,datetime
143932,2,143932,$AAPL I’m hoping on this train too,2020-01-22T17:46:06Z
143987,1,143987,"$SPY $TVIX $SPCE $AAPL  Picked $90k worth 333 calls! for 30+% gain, They are spined the 5min to pick up the 15Min chart. The hourly was very manipulated! 332.48 332.71 and algos can rage",2020-01-22T16:49:39Z
144037,1,144037,$SPY $qqq $aapl ripe for a reversal,2020-01-22T16:00:02Z
144054,2,144054, :police_car_light: $AAPL New Low-Cost iPhone To Enter Mass Production In February [URL],2020-01-22T15:33:32Z
144125,2,144125,$AAPL Kids are swapping AirPods in class then using text to speech to ‘talk’ without talking  [URL],2020-01-22T14:28:00Z
144126,2,144126,@mainstay $AAPL Not true.the SE added value. The iphone XR added value.,2020-01-22T14:27:50Z
144167,2,144167,Here’s What a Billion Paid Subscriptions Would Mean for Apple Stock$AAPL  [URL],2020-01-22T13:30:28Z
144178,2,144178,"$SPY Be careful folks, we&39;ve been here before $TSLA $AAPL $QQQ $DJIA",2020-01-22T13:47:51Z
144238,2,144238,Here’s What Analysts Are Saying About Netflix’s Latest Earnings  $MS $AAPL $DIS $NFLX [URL],2020-01-22T12:00:00Z
144261,2,144261,$AAPL   Apple reportedly asks TSMC to increase A13 chip production to keep up with iPhone 11 demand [URL],2020-01-22T09:52:06Z
144319,2,144319,$AAPL 1k by 2021,2020-01-22T04:15:25Z
144461,2,144461,$SPY $AAPL $ADMP $AMZN $TWTR    Really?  Not a chance  :rolling_on_the_floor_laughing: .   Andy goes down again!,2020-01-21T22:54:03Z
144472,2,144472,$AAPL Corona Lite,2020-01-21T22:33:16Z
144597,2,144597,$AAPL Ganna make me wait all day before I can load the fk up on cheap calls or what aapl. DIP DAMNT,2020-01-21T19:38:06Z
144613,2,144613,"$AAPL WTF, Lawrence Taylor up next on Fox Business channel . Don’t sack the market, Lawrenc!",2020-01-21T19:22:12Z
144624,1,144624,Again it may be a great payout to buy SPY 320 Puts  $AAPL $MSFT $QQQ $SPY $AA Market goes under the total SPY 320 :thumbs_down_dark_skin_tone: ,2020-01-21T19:07:11Z
144665,2,144665,$BA Wow! So $AAPL has officially replaced Boeing as the highest weighted stock in $DIA !,2020-01-21T18:55:45Z
144694,2,144694,$AAPL 5G rolling out by all major carriers will need new phones! The pent up demand will be overwhelming by September!,2020-01-21T18:32:48Z
144729,1,144729,$AAPL Apple Sets New 52-Week High at $318.86 [URL],2020-01-21T17:21:38Z
144757,2,144757,@Taxes_R2_Damn_High $AAPL $TSLA $CRM $AMD $ADBE,2020-01-21T16:44:21Z
144811,2,144811,"$AAPL $TSLA $CRM $AMD $ADBE you may think that bad earnings will bring the market down. But earnings have been gradually lowered so the whisper number is lower than what the actual estimates are. So there will one or two companies that will be made an example of and drop but the rest will fly high. BOOM is on the way. No war, no virus, no poor earnings will stop this raging bull.",2020-01-21T15:32:31Z
144836,1,144836,$SPY $AAPL $AMZN going green. $332 eod.,2020-01-21T15:05:44Z
144984,2,144984,$AAPL I think they want the proverbial:“missing link”  :monkey_face:  :see-no-evil_monkey:  :hear-no-evil_monkey:  :speak-no-evil_monkey:  :monkey: ,2020-01-21T07:27:43Z
145076,1,145076,$AAPL with new 5G Cycle this stock will reach $500-$600 2021,2020-01-21T01:17:32Z
145079,2,145079,$AAPL Blocked goodnewsbulls.long time ago.   While u at it byob1 is another candidate.,2020-01-20T18:45:12Z
145088,2,145088,"$AAPL XDR monitor just shipped - totally paid for with bear&39;s $ - silly stock charts going to look so awesome.  Bears trying hard to find some reasons to be bearish - daily chart topped out, valuation, RSI  :face_with_tears_of_joy: , economy/fed blah blah blah.  How many XDRs &amp; Mac Pros did they deliver last year?   :smiling_face_with_sunglasses:   Imagine not having dozens of reasons the stock could go higher.",2020-01-20T18:05:57Z
145092,2,145092,$SPY $AAPL @GoodNewsBull You really need to get off your high horse and stop trying to make an example out of people. Your comments do not to age well.I don’t know of anyone on here that’s more misleading and virtue signaling than you. You have very little transparency and come off extremely unlike-able with your pompous demeanor. And rarely disclose that you have a long portfolio while proclaiming the sky is falling.If anything @Bijagual should be applauded for sharing his journey. The stigma around sharing profits or losses is an outdated paradigm. There’s nothing ethically wrong about talking about making or losing money.By your own definition you do not fall in the category of a great investor or trader.Screenshots below:,2020-01-20T17:58:15Z
145113,2,145113,$AAPL Recommendations to sell options (Buy-Write) on 2020-01-20 for AAPL [URL],2020-01-20T16:40:02Z
145211,2,145211,@BYOB1 since 2006.  lol. tastes good. must be nice to be the only genius to figure out that the 2019 double in share price is an Apple conspiracy (not to mention 6 green weeks in a row). lol. $AAPL,2020-01-19T23:59:16Z
145246,2,145246,"$AAPL strongest technology company, current evaluation has them over 1 trillion dollars, with the amount of money they have they can develop new and improved products and increase productivity rapidly. $AAPL to the MOON!",2020-01-19T21:44:29Z
145248,2,145248,"$VUZI load up! When earnings get close, it will keep climbing towards the next years. Use Cases are increasing (see $VZ ([URL] great use case for firefighters were AR-Glasses can save lives and make work for firefighters easier! Great, big revenue possible). The big players like $AAPL , $GOOG , $AMZN will notice Vuzix very soon if they havent already. Acquisition possible to get the patents of Vuzix.",2020-01-19T21:25:16Z
145277,2,145277,$AAPL $SPY,2020-01-19T17:51:04Z
145290,0,145290,$AAPL Explosive to the downside when the indexes commence a sell off:,2020-01-19T17:09:43Z
145346,1,145346,$CLGPF - Clean Seed vs Apple ($AAPL). [URL] portfolio_prospective better_portfolio diversify,2020-01-19T06:16:32Z
145353,2,145353,$AAPL what would be the stock price at 2 Trillion Market Cap?,2020-01-18T23:46:50Z
145476,1,145476,$AAPL if $TSLA can go up like $100 in a month then so can $AAPL lol considering the wide difference in itsMarket cap lmaoo,2020-01-18T08:58:50Z
145484,2,145484,$AAPL $MSFT $SPY $DJIA,2020-01-18T06:57:08Z
145585,2,145585,$AAPL 250 lol,2020-01-17T22:07:43Z
145601,2,145601,"$AAPL The price inside into the predicted levels, again.",2020-01-17T21:50:38Z
145626,2,145626,$AAPL what happen?,2020-01-17T21:10:19Z
145669,2,145669,$AAPL We told you so,2020-01-17T21:00:04Z
145774,2,145774,$AAPL $ETC.X $SPY  ROFL,2020-01-17T20:28:49Z
145799,2,145799,"$AAPL Who ever said, &quot;Im going to wait to buy, so I can pay more&quot;. Folks, you should be buying Apple with every dime in your purse TODAY before its MORE next Tuesday. $SPY",2020-01-17T20:13:06Z
145829,2,145829,"$AAPL not only were airpods more popular on Google searches worldwide during the holiday season, but they are also more popular for the month after by about 15%",2020-01-17T20:02:22Z
145848,2,145848,$SPY $AAPL Actually with Interactive Brokers you dont have to purchase a full share. You can buy fractional shares now ;),2020-01-17T19:53:39Z
145855,2,145855,"What happens if $AAPL loses the App store lawsuit currently in the courts? The company takes 30% of all app revenues from developers, but that could soon change, along with the increased services revenue mantra going around lately",2020-01-17T19:49:48Z
145968,2,145968,$AAPL sweat shop child labor to build products  :enraged_face:  :grinning_face: ,2020-01-17T18:16:59Z
146008,2,146008,"Netflix Earnings Ahead: Eyes On Membership Amid Streaming Wars, Original Content  $NFLX $DIS $AAPL $AMZN $T [URL]",2020-01-17T17:49:32Z
146016,2,146016,$AAPL reeks of pure greed. Needs a 10% haircut so bad,2020-01-17T17:44:07Z
146017,2,146017,$AAPL will it give up 316? probably not,2020-01-17T17:43:53Z
146049,2,146049,$AAPL i am long since 2012. Long term keeper. Lets hope they increase the Div,2020-01-17T17:27:16Z
146051,2,146051,$AAPL discussion. it&39;s not a consumer luxury brand from a mobile phone perspective. I see all social levels w/them thanks to deals and financing from telcos.  @cnbc josh statmnt.,2020-01-17T17:26:41Z
146100,2,146100,$AAPL  :fire: ,2020-01-17T16:53:06Z
146181,1,146181,$AAPL $TSLA $NVDA $NFLX Look at spce today the chart is looking great and volume would push this into 17-18. $SPCE,2020-01-17T16:06:28Z
146184,2,146184,"My original post doesn&39;t show on ST: stocktwits.com/DDelta/messa.      For those interested in IP Theft: &quot;Deja vue!&quot;. Ring any bells?!?      The &quot;Saga&quot; of Apple&39;s (et all!) IP Theft, Cheat &amp; Fraud done by Samsung.      [URL] ( Very instructive article, published almost 6 years ago )           $FB $BB.CA/$BB $AAPL",2020-01-17T16:04:18Z
146224,2,146224,$AAPL Ur basket of eggs are tied to the charts.  My basket of eggs are tied to the company and it’s management.,2020-01-17T15:24:47Z
146248,0,146248,"$AAPL  *We have China Trade deal, USMCA and  Iran is under control, it&39;s own people has it&39;s leaders in check now with their riots due to Iran&39;s accidental shooting down of airliner. Iran was breaking its uranium deal, (since  before July 2019 see link, does not equal a bomb- Just buffered by taking their money away) and funding Hezbollah, much more dangerous, before sanctions with other promises also being broken as per funding Hezbollah, with prior agreement. It&39;s economically so feeble now with sanctions, than when it was with billions at it&39;s disposal.Iran will follow international review void of US.but seeks a deal, because it needs it. Iranian economy feeble, like never before seen in 40 yrs. Excerpt from article quotes Iranian govt itself &quot;Iran&39;s government itself forecasts that oil export revenues will be reduced by 70% in the next Iranian fiscal year .&quot;Link from July 2019=[URL]",2020-01-17T15:17:22Z
146291,2,146291,$AAPL 317 incoming!  :star-struck: ,2020-01-17T14:56:48Z
146408,1,146408,$AAPL can’t wait for the next update.  Katy is now above the line.,2020-01-17T12:34:06Z
146445,2,146445,"Microsoft Commits To Go &39;Carbon Negative&39; By 2030, Creates $1B Fund For Climate Innovation  $MSFT $AMZN $AAPl $GOOG $GOOGL [URL]",2020-01-17T09:37:29Z
146489,2,146489,$AAPL can’t stop this thing  :zombie: ,2020-01-17T03:47:47Z
146500,2,146500,$AAPL i read somewhere apple is now the most shorted stock now.is it true and y ?,2020-01-17T02:38:42Z
146519,2,146519,"$AAPL   2020 APPLE INC. Annual Meeting of Stockholders  MEETING DATE: February 26, 2020",2020-01-17T01:22:37Z
146636,2,146636,$AAPL UPDATE 1-Fiat Chrysler and Foxconn plan Chinese electric vehicle joint venture [URL],2020-01-16T21:16:25Z
146693,2,146693,$AAPL wow,2020-01-16T20:49:10Z
146747,2,146747,$AAPL OKAY?!  :clapping_hands_medium-light_skin_tone:  :fire: ,2020-01-16T19:40:29Z
146755,2,146755,$AAPL Will we see 315 again today? I hope so :),2020-01-16T19:32:56Z
146809,1,146809,$TSLA $AAPL about to go to HOD. Boom.,2020-01-16T18:20:23Z
146826,2,146826,$AAPL Apple and NBA strike deal for Playlist. Buy before upcoming earnings!,2020-01-16T17:52:04Z
146860,1,146860,$TSLA $AMD $SPY $MSFT $AAPL sheeple. When “analysts” speak of Tesla going to $6000 from its current $500 (up 300% since June 2019- it was $278) :face_with_tears_of_joy:  Thats the Q to sell. Media hype pulls in suckers. Stay away.,2020-01-16T17:21:00Z
147037,2,147037,"which one will get to $340 first, $SPY or $AAPL? Looking at late Feb, early March calls",2020-01-16T15:14:13Z
147098,2,147098,$AAPL = ALGO,2020-01-16T14:45:39Z
147216,2,147216,$AAPL 1430 so annying,2020-01-16T12:34:45Z
147261,2,147261,$AAPL Donald Trump making China great again! Hell ya! Market rallies tomorrow through end of the month in celebration of Chinese New Year!,2020-01-16T06:35:35Z
147346,1,147346,"$AAPLOption trader Paid $0.40 for 6,000 March 395/420 call spread On expiry,If aapl&lt;395, lose $0.40Max gain is $24.60 if aapl &gt;420Risking $0.40 to make $24.60See big options structures that traded today, big option-holders, and big stock-holders  at volsage.com/bigHolders.phpPick a stock. Our AI shows you other stocks that will interest you. volsage.com/seeSimilar.phpDuring market hrs, see streaming trades at  volsage.com/streaming.php",2020-01-16T01:03:29Z
147478,2,147478,$AAPL $GOOG $AMZN $FB Trump will borrow $7.2 billion to build his wall. It’s not going to be finished before his terms are over. The next president is not going continue building that wall. So all that money is going to go to waste. Do you disagree?,2020-01-15T21:35:23Z
147489,1,147489,$SPY we are in for the $AAPL rally tomorrow back to 315-17 and boom. We cross 331.,2020-01-15T21:26:27Z
147605,1,147605,$AAPL 320 Friday would br a nice finish to this week,2020-01-15T19:40:43Z
147688,2,147688,$AAPL Dipping,2020-01-15T18:54:42Z
147732,2,147732,$AAPL I need 310 then go up,2020-01-15T18:35:39Z
147797,2,147797,$AAPL I smell shit with these people.,2020-01-15T17:59:04Z
147801,1,147801,$SPY $AAPL $AMZN  market close to flat line just watching no idea,2020-01-15T17:57:55Z
147885,2,147885,"$SPY Cant have a Red Market while they sign, wait til after $AAPL $QQQ $DJIA $XLF",2020-01-15T16:53:55Z
147907,2,147907,$CYBR  Posted at Twitter !  cybercash28 @MadMraket · 30s Replying to  @gypsynurse30 $CYBR  cash/share = 9.6 &amp; stk price $AAPL cash/share 7.2%  AAPL is consider the BEST !    People do not know !,2020-01-15T16:41:37Z
147923,2,147923,$AAPL Trump never comes on time for press,2020-01-15T16:33:56Z
148022,2,148022,$AAPL trying to build $314 support and its being tested. Will it break?,2020-01-15T15:30:05Z
148079,2,148079,$AAPL Feb(21) 295 calls for $1.1M in premium,2020-01-15T14:58:06Z
148256,2,148256,$AAPL $AAPL whats your opinion on price tomorrow ? @zbullishTrader,2020-01-15T12:13:12Z
148303,2,148303,$SPY fake trade deal lol  :squinting_face_with_tongue:  $QQQ $NVDA $AAPL $AMD  :money-mouth_face: ,2020-01-15T08:01:08Z
148332,2,148332,$AAPL I was just saying that.  :thinking_face:  :winking_face_with_tongue: ,2020-01-15T03:37:43Z
148379,1,148379,$AAPL 294 seems to be a good reentry for calls till than short it.,2020-01-15T02:58:09Z
148432,2,148432,C&39;mon bears. Let&39;s see where you shit in the woods. You can&39;t even reach the $AAPL &39;s in the tree.,2020-01-15T00:30:22Z
148452,0,148452,$AAPL not down enough  for me to add.,2020-01-15T00:26:14Z
148490,2,148490,$AAPL So AAPL will go to ATH just by unlocking their phones for governments? I say unlock them!,2020-01-15T00:12:54Z
148516,2,148516,"$AAPL phase one signing tomorrow. what trading platform does everyone use? I’m tried of Rh and their glitches. Although, I do like how easy and simple it is to use",2020-01-14T22:01:11Z
148578,2,148578,$BIDU $BABA $SPY $TSLA $AAPL just imagine all that short fuel tomorrow,2020-01-14T21:09:24Z
148663,1,148663,Stocks Are Very Overbought: Chart Extravaganza [URL] $SPY $TSLA $AAPL,2020-01-14T20:19:49Z
148693,2,148693,$AAPL that’s how the cookie crumble . (he won’t sign it),2020-01-14T19:40:00Z
148732,2,148732,$AAPL theta got turned up on those calls ouch,2020-01-14T19:26:50Z
148737,2,148737,"If you want to protect yourself from a possible market pullback, $tsla is a GREAT option.  Sporting earnings of -$4.71, no dividend, and a -113:1 PE ratio, is is amongst the safest stocks in our scan.  $aapl $spy $bynd",2020-01-14T19:25:54Z
148750,1,148750,$AAPL 310.35 gap incoming,2020-01-14T19:21:19Z
148840,2,148840,$AAPL Here come the buyers.,2020-01-14T18:48:03Z
148856,2,148856,$SPY $AAPL They needed time to re-program the algos to hard sell.,2020-01-14T18:44:42Z
148987,1,148987,We are in the midst of that old.Launch Mode!   $AAPL going.,2020-01-14T17:00:06Z
149000,2,149000,$AAPL or a small bull trap leading to 314,2020-01-14T16:54:57Z
149007,1,149007,"$SPY bulls left here pumping are either giving back their gains, underwater or have NO SKIN IN THE GAME AND ARE RESENTFUL bc BEARS feasting today  :rolling_on_the_floor_laughing:  :grinning_squinting_face:  :loudly_crying_face:  Massive BlowOff top reversal Correction backfill on way! $MCD $AAPL $SPY $TSLA  S&amp;P only thing holding this up!",2020-01-14T16:52:15Z
149058,1,149058,"$AAPL it goes up 10 cents, bulls start bashing bears. It goes down 10 cents, bears start talking shit.  This is freaking hilarious.",2020-01-14T16:21:09Z
149097,1,149097,"$SPY $TVIX $AAPL Pinched in short here $55k puts for a scalp, as mentioned earlier post its toppy",2020-01-14T15:55:09Z
149250,2,149250,$SPY I did it! @andros28 @neotrades @Kasteel_Trader @AdamAlpha $QQQ $AAPL,2020-01-14T14:55:12Z
149251,2,149251,$AAPL btd,2020-01-14T14:54:30Z
149258,1,149258,$AAPL  Nice short.  daytrading,2020-01-14T14:52:13Z
149260,1,149260,$AAPL hit my stop order and filled soon as market open thank god and $1400 profit will wait to buy in,2020-01-14T14:51:59Z
149373,1,149373,$AAPL   Analysts Predict $375 or $400 High for AAPL Stock This Year [URL],2020-01-14T13:41:33Z
149474,1,149474,$aapl $amzn $spy $tsla $bynd I agree those stocks doing well but the “fulltime420” bothers me,2020-01-14T10:26:14Z
149526,1,149526,"$AAPL ABSOLUTE INSANITY! Higher and higher. All time highs, that’s very bullish. Following price action, studying all time frames",2020-01-14T03:53:35Z
149565,2,149565,$AAPL,2020-01-14T03:03:01Z
149566,2,149566,$AAPL WS Big Investors finally Get it! Congratulations to All the AAPL Bulls - New and Old! See you in 350 soon!,2020-01-14T03:02:57Z
149575,1,149575,$AAPL these gains are making me blush. Unreal.,2020-01-14T02:49:12Z
149679,2,149679,$AAPL  :skull:   :smiling_face_with_heart-eyes: ,2020-01-13T22:26:06Z
149805,2,149805,$ROKU $AAPL  :money_bag:   :money_bag:   :money_bag:   :money_bag:  Thank you  :smiling_face: ,2020-01-13T20:57:48Z
149831,1,149831,$TSLA shorts are pummelled again?  $AAPL wants the $325&39;s tomorrow!   1/14/20,2020-01-13T20:54:38Z
149883,1,149883,[URL] $aapl Good for 5g sector,2020-01-13T20:20:47Z
150016,2,150016,$AAPL $SPY 11 dollars to go,2020-01-13T18:15:52Z
150083,2,150083,$AAPL NEW ARTICLE : On To The Roaring &39;20s [URL] Get all the latest $AAPL related news here : [URL],2020-01-13T17:11:06Z
150155,2,150155,Every Sunday while you&39;re watching football we&39;re scaning through over 450 STOCKS looking for the BEST STOCK OPTION setups  -   $AAPL $NFLX   $SNAP  $SBUX   * PUTS ON $BURL  now,2020-01-13T16:07:56Z
150282,2,150282,"$SPY $NASDAQ $SPY $AAPL $TSLA Stop looking at indices traders, just look at aapl , game is changing last few months , worlds wealth has been stuffed into aapl stock, look at aapl for directions, forget spy es nq. Er is 1-28",2020-01-13T14:59:00Z
150320,1,150320,$AAPL short 312.28,2020-01-13T14:32:06Z
150398,2,150398,$AAPL the gift that keeps on giving,2020-01-13T10:42:18Z
150404,2,150404,$AAPL I have a funny feeling we open flat and I hope I’m wrong,2020-01-13T10:24:07Z
150454,2,150454,$APHA $AAPL $NKE $DIS $NFLX This is this week&39;s watchlist.  [URL],2020-01-13T04:16:37Z
150482,0,150482,$AAPL Why Apple May Have Returned to Growth in Greater China [URL],2020-01-12T23:59:40Z
150512,2,150512,$AAPL Ready for the live charting session- if you arnt with us but want the free month access then click follow &amp; message me - I’ll hook you up to our ST Premium room $NFLX,2020-01-12T22:53:53Z
150522,2,150522,"This is nuts’ — one strategist explains why he just reduced risk by selling Apple, Microsoft and more$AAPL $[URL]",2020-01-12T22:30:54Z
150562,2,150562,$BYND $CSPR $AAPL $TSLA $NFLX just a heads up for the community there is a crowdsourced platform that allows you to invest in pre-iPo companies. I missed out on BYND pre-iPo but I am in on $CSPR minimum requirements $50k but they leverage crowd funding to allow you to invest like private equity funds in post seed rounds. Do your own DD but just wanted to share with you,2020-01-12T19:33:52Z
150593,1,150593,"$SPY $QQQ $IWM $VIX $AAPL From this weekend&39;s Research Report: The latest permabear rants about market’s surging has come by way of correlating the Fed’s balance sheet expansion with the S&amp;P 500’s “typical” seasonal melt-up and first 5 trading day’s of January performance. The suggestion is that if not for the Fed pumping liquidity into markets by expanding its balance sheet, it would have fallen. Of course, since the Fed began expanding its balance sheet again in October 2019, at such a rapid rate, the S&amp;P 500 has traveled higher by some 365 points or just under 12 percent.",2020-01-12T15:45:40Z
150689,2,150689,"$AAPL Apple is crushing Samsung! If you wanna learn about something cool, check out Pi cryptocurrency. It&39;s in the beta stage right now and anyone with a smartphone can start mining but there&39;s only going to be a limited amount of Pi so join before it&39;s to late! You need a code to join so you can use mine: RichardMenard",2020-01-11T21:47:37Z
150766,2,150766,"$AAPL Everyone knows the reason for the price increase. President trump manipulates prices. If the president leaves, price fall as he leaves.",2020-01-11T12:25:34Z
150786,2,150786,"@Nuvector @Longterminvestor83 You are assuming that $AAPL stock price is going to go down dramatically.   It may not go down, then you would never buy back shares!   See the flaw in your logic?  $AAPL may not be overvalued.  What logic makes you say it is overvalued?  The 5G SuperCycle alone makes $AAPL worth $450!  1 Billion iPhones need to be upgraded and that will take 5 years or more!",2020-01-11T07:10:49Z
150822,2,150822,$AAPL [URL],2020-01-11T03:18:36Z
150825,2,150825,$SPY can SPY retest SPY 320 ? Certainly If strong selling persists into next week!  $QQQ $AAPL $MSFT $BA,2020-01-11T03:06:38Z
150843,2,150843,$AMZN $AAPL $NFLX $FB $GOOGL   OMG! Iranian Air Force getting ready !,2020-01-10T22:31:47Z
150877,1,150877,$AAPL Is only 100 dollars higher than the 50-day moving average on the daily chart. Lots of more room to run. $SPY,2020-01-10T21:52:04Z
150894,2,150894,"$AAPL PLEASE PLEASE let me know   If any asteroids headed towards us in near future,  anything to do with Iran no worries.   Hoping you many many positive thoughts over the weekend.  Hoping to learn more about trading and AAPL next week on stocktwits",2020-01-10T21:40:21Z
150897,1,150897,"$SPY Zero risk in the markets. Apple goes up 6-10 bucks every other day, in a single trading session. Best time to be alive. $AAPL",2020-01-10T21:31:57Z
151010,2,151010,$AAPL what a weird glitch,2020-01-10T20:02:29Z
151073,2,151073,"$SPY $QQQ $TSLA $AAPL $GOOG When people are winning, they&39;re stock guru geniuses. When they&39;re losing, they blame the FEDs or market manipulation. LOL",2020-01-10T18:57:56Z
151077,2,151077,$SNAP decision is imminent. also touch on $SPY and $AAPL  [URL],2020-01-10T18:56:05Z
151085,2,151085,"$AAPL All aboard.get on the Gain Train, 2020 is  going to drawf last years yuge gain. :-)",2020-01-10T18:51:59Z
151208,2,151208,"Coverage Initiations, Resumptions &amp; PT Changes 3:  $EXAS $AAPL $SAVA $TSLA $NVDA",2020-01-10T17:40:55Z
151223,1,151223,$AAPL hard bounce off 50 ema,2020-01-10T17:35:38Z
151256,1,151256,Being short $aapl calls has suuuuuucked the last two days. Yesterday hedged with today’s call fly and today added 1/4 to it and just covered.  For being absolutely wrong so far haven’t gotten rekt.  Cheers,2020-01-10T17:28:00Z
151379,2,151379,$AAPL Please stop it with the Iran stuff.  No one cares about them,2020-01-10T16:10:01Z
151439,2,151439,$AAPL  and lose it all.,2020-01-10T15:39:16Z
151442,2,151442,$AAPL they will just burn premium on both sides now . they do most moves overnight and you got to catch the move early,2020-01-10T15:38:22Z
151711,0,151711,Apple&39;s neutral rating reiterated at Credit Suisse Group AG. $275.00 PT. [URL] $AAPL,2020-01-10T12:23:59Z
151719,1,151719,"$SWKS $QRVO $AAPL Apple suppliers Skyworks, Qorvo get upgrades on 5G [URL]",2020-01-10T12:14:04Z
151750,1,151750,"$AAPL is hitting new highs almost every day. From a technical standpoint,  we truly can say “the sky is the limit&quot;. This is a great example of how overbought can get a lot more overbought.",2020-01-10T08:08:39Z
151834,2,151834,$AAPL KAG 2020,2020-01-10T02:27:36Z
151881,1,151881,"$AAPL Another day up, another bear  :bear:  post.",2020-01-10T01:10:02Z
151938,2,151938,"$SPY Market reminds me of Wile e Coyote. Its a rocket right now but,. $AAPL $QQQ $MSFT $NFLX",2020-01-09T22:15:28Z
151942,2,151942,$AAPL Is this a glitch or a prophecy? Weird either way.,2020-01-09T22:11:28Z
151944,2,151944,"We ended up selling 1/2 of our $AAPL call option position today for almost a 300% gain. Still holding onto the full position for myself and clients that I manage money for, because we&39;re holding the common stock and don&39;t have to worry about time decay. I hope this chart and info helped you to make some money. Subscribers are happy and profitable at www.TheTradingAnalyst.com",2020-01-09T22:09:00Z
152005,2,152005,$AAPL,2020-01-09T21:15:00Z
152176,2,152176,"$AAPL go home shorty, you’re drunk AND high",2020-01-09T18:55:16Z
152277,1,152277,$AAPL bear trap!  it will go up high!,2020-01-09T17:50:06Z
152293,2,152293,$AAPL gap fill  :money-mouth_face:  :thinking_face: ,2020-01-09T17:47:22Z
152339,2,152339,Funny that the party of anti-white men have 3 as the  front runners. Just can&39;t make this *hit up :face_with_tears_of_joy:  :man_shrugging:  $AAPL $SPY,2020-01-09T17:37:44Z
152422,2,152422,$AAPL AIR PODS HEARING  EVERYTHING! :exploding_head: ,2020-01-09T17:13:02Z
152468,2,152468,$AAPL and $AMD both trying to break out over resistance. Should be fun if they do,2020-01-09T16:48:28Z
152476,1,152476,$AAPL strong call sweep activity since market open,2020-01-09T16:45:32Z
152513,2,152513,$AAPL can’t wait til earnings and none of this movement is priced in 10 fold  :man_tipping_hand: ,2020-01-09T16:36:15Z
152566,2,152566,$AAPL how should I play this  :thinking_face: ,2020-01-09T15:50:47Z
152580,2,152580,$AAPL HERE WE GO,2020-01-09T15:43:12Z
152627,1,152627,"$AAPL sales up 18%, share price 100%,. Makes sense.",2020-01-09T15:20:11Z
152636,2,152636,$AAPL needs little more time before jump,2020-01-09T15:15:52Z
152724,2,152724,$AAPL nice Open,2020-01-09T14:38:34Z
152731,2,152731,$AAPL to the moon and beyond!,2020-01-09T14:27:28Z
152767,1,152767,$TSLA new leg up starts over 500.50 I would not buy before. $QQQ  $FANG $AAPL,2020-01-09T14:09:47Z
152792,2,152792,$AAPL [URL],2020-01-09T13:50:10Z
152941,2,152941,"$SPY $USO $AAPL This looks like an attack intended to kill people and destroy equipment, but I’m just a guy sitting at a computer looking at the pictures.",2020-01-09T04:44:25Z
153001,2,153001,$AAPL Show me $305 tomorrow,2020-01-09T01:21:48Z
153049,2,153049,$SPY  $AAPL $MSFT  :backhand_index_pointing_down:  :flexed_biceps: ,2020-01-08T23:11:04Z
153073,2,153073,"$AAPL Anyone remember yesterday excited bears  :bear:  that were running out of their caves to see the rockets and shorting madly around 292. Some even predicted 270 today?Thanks for them we had the nice short covering in addition to buying. Reminder to the bears  :bear:  : it’s winter, stay in your caves for your own good and don’t trade on hope.",2020-01-08T22:14:14Z
153229,2,153229,$AAPL NEW ARTICLE : Apple News hits 100 million users [URL] Get all the latest $AAPL related news here : [URL],2020-01-08T20:33:10Z
153263,2,153263,$AAPL thanks Trump for leaving your balls at home and not retaliating.,2020-01-08T20:21:03Z
153594,2,153594,"$TSLA $NVDA $AMD $AAPL $SPY  mrPump has a  basic surviving inctinct , even a monkey would make same decision - to make nothing. Dems have only 1 chance - to take him out -&gt; &quot;help&quot; the market to go in recession in the middle of year. That means powells pumping should have Zero Effect.",2020-01-08T16:58:23Z
153632,1,153632,$AAPL needs to trade in 299.50 - 300.0 range until shorties realize this resistance wall is shattered,2020-01-08T16:45:53Z
153725,2,153725,$SPY $TSLA $AAPL $AMZN $NFLX greedy put buyers will get slaughtered easily! But high reward if it does a trump dump!,2020-01-08T15:55:03Z
153769,1,153769,$PD.CA looks good to extend the run. ADX is stronger than $AAPL. Healthier profit taking too. Expect a close around $2.11 [$1.94 ATM],2020-01-08T15:19:34Z
153819,2,153819,$AAPL Stop rejecting !,2020-01-08T14:46:43Z
153986,2,153986,$AAPL  zoomed in,2020-01-08T07:07:06Z
154047,2,154047,$AAPL Iran left potholes in a runway.big deal,2020-01-08T04:11:15Z
154057,2,154057,@M4rmar will this affect stocks like $AAPL,2020-01-08T04:05:37Z
154059,2,154059,@TheVanBurenBoyZ will this affect stocks like $AAPL,2020-01-08T04:05:26Z
154118,2,154118,$SPY what a buying opportunity again!  I will buy calls for $AAPL,2020-01-08T02:28:27Z
154123,2,154123,Live look at Iran firing off their rockets. $AAPL $MSFT $RTN $SPY,2020-01-08T02:26:34Z
154170,2,154170,$AAPL Putting a few pothole in the runways should hold Iran&39;s domestic audience,2020-01-08T01:35:44Z
154311,1,154311,$AAPL if you’re still holding this hoping for more gains you just got but fucked lol !,2020-01-08T00:26:42Z
154331,1,154331,"$GLD $SPY $DJIA $AAPL $DIS I’m back into gold.  going parabolic.  Tomorrow will continue to go up.  get in before AH closes or miss out- not too late, baby’s gapping up tomorrow   :thumbs_up_medium_skin_tone: ",2020-01-08T00:19:27Z
